זמן התרעה מקדימה,התרעה מקדימה - טקסט מלא,סטטוס עבור הרצליה,זמן אזעקה בפועל,זמן היערכות (דקות)
2026-02-28 12:28:59,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 12:28)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב הנגב, עוטף עזה, מרכז הנגב, יהודה, דרום הנגב, ערבה, ים המלח, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 12:35:58,7.0
2026-02-28 13:05:36,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 13:05)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים, מערב הנגב, עוטף עזה, מרכז הנגב לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 13:13:14,7.6
2026-02-28 13:05:37,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 13:05)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים, מערב הנגב, עוטף עזה, מרכז הנגב, ערבה, ים המלח, דרום הנגב לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 13:13:14,7.6
2026-02-28 14:36:44,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 14:36)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 14:43:13,6.5
2026-02-28 15:44:16,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 15:44)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 15:51:57,7.7
2026-02-28 16:27:53,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 16:27)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 16:34:35,6.7
2026-02-28 16:48:27,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 16:48)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 17:14:26,26.0
2026-02-28 17:32:55,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 17:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, קו העימות, המפרץ, מנשה, ואדי ערה, הכרמל, צפון הגולן, דרום הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 17:37:23,4.5
2026-02-28 19:18:25,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 19:18)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, השפלה, ירקון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 19:25:35,7.2
2026-02-28 22:35:26,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 22:35)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, מערב לכיש, לכיש, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, העמקים, גליל עליון, מרכז הגליל, קו העימות, דרום הגולן לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 22:44:02,8.6
2026-02-28 22:35:26,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 22:35)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, מערב לכיש, לכיש, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, העמקים, גליל עליון, מרכז הגליל, קו העימות, דרום הגולן, צפון הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 22:44:02,8.6
2026-02-28 23:22:41,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 23:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-02-28 23:31:14,8.6
2026-03-01 01:40:07,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 01:40)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 01:50:23,10.3
2026-03-01 01:40:11,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 01:40)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",אמת (צבע אדום הופעל),2026-03-01 01:50:23,10.2
