Date,Time,Message,Datetime
2026-02-28,16:48:27,"מבזק פיקוד העורף - התרעה מקדימה  (28/02/2026 16:48)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-02-28 16:48:27
2026-03-01,08:54:53,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 08:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים יהודה, מערב לכיש, לכיש, שפלת יהודה, שרון, בקעה, שומרון, דן, ירקון, השפלה, ירושלים, דרום הגולן, צפון הגולן, גליל תחתון, העמקים, גליל עליון, המפרץ, מנשה, ואדי ערה, הכרמל, מרכז הגליל, קו העימות, בקעת בית שאן לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-01 08:54:53
2026-03-01,10:04:53,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 10:04)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, מערב לכיש, לכיש, ירושלים, צפון הגולן, דרום הגולן, גליל תחתון, גליל עליון, העמקים, בקעת בית שאן, מרכז הגליל, קו העימות, המפרץ, מנשה, ואדי ערה, הכרמל לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-01 10:04:53
2026-03-01,12:38:30,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 12:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, יהודה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-01 12:38:30
2026-03-01,13:24:54,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 13:24)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, דן, ירקון, השפלה, שרון, יהודה, שפלת יהודה, מערב לכיש, לכיש, צפון הגולן, דרום הגולן, גליל תחתון, המפרץ, מנשה, ואדי ערה, הכרמל, בקעת בית שאן, העמקים, גליל עליון, מרכז הגליל, קו העימות, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-01 13:24:54
2026-03-01,22:28:11,"מבזק פיקוד העורף - התרעה מקדימה  (01/03/2026 22:28)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-01 22:28:11
2026-03-02,07:30:30,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 07:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שפלת יהודה, מערב לכיש, לכיש, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-02 07:30:30
2026-03-02,12:34:13,"מבזק פיקוד העורף - התרעה מקדימה  (02/03/2026 12:34)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים, מרכז הנגב, מערב הנגב, עוטף עזה, דרום הנגב, ערבה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-02 12:34:13
2026-03-03,12:22:09,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 12:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-03 12:22:09
2026-03-03,22:42:17,"מבזק פיקוד העורף - התרעה מקדימה  (03/03/2026 22:42)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-03 22:42:17
2026-03-04,05:53:13,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 05:53)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שפלת יהודה, מערב לכיש, לכיש, דן, ירקון, יהודה, השפלה, בקעה, שומרון, שרון, בקעת בית שאן, גליל עליון, העמקים, המפרץ, מנשה, ואדי ערה, הכרמל, מרכז הגליל, קו העימות, צפון הגולן, דרום הגולן, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-04 05:53:13
2026-03-04,13:47:49,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 13:47)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, השפלה, ירקון, דן, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-04 13:47:49
2026-03-04,14:02:44,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 14:02)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, יהודה, שרון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-04 14:02:44
